img_link,price,brand_name,product_name
"https://www.rlmedia.io/is/image/PoloGSI/s7-1266650_alternate1?$rl_392_pdp$&crop=195,0,1605,2000&anchor=1000,1000",$275.00,"
Polo Ralph Lauren
","
Ranger Polo Bear Suede Boot
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1309479_lifestyle?$rl_392_pdp$,$300.00,"
Polo Ralph Lauren
","
Willard Camo Suede Slipper
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1316657_lifestyle?$rl_392_pdp$,$85.00,"
Polo Ralph Lauren
","
Polo Red Rush 4.2 oz. EDT
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1309488_lifestyle?$rl_392_pdp$,$65.00,"
Polo Ralph Lauren
","
Sayer Canvas Low-Top Sneaker
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1313526_lifestyle?$rl_392_pdp$,$165.00,"
Polo Ralph Lauren
","
Stars-and-Stripes Sunglasses
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1309483_lifestyle?$rl_392_pdp$,$300.00,"
Polo Ralph Lauren
","
Willard Crest Plaid Slipper
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1316658_lifestyle?$rl_392_pdp$,$68.00,"
Polo Ralph Lauren
","
Polo Red Rush 2.5 oz. EDT
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1316659_lifestyle?$rl_392_pdp$,$50.00,"
Polo Ralph Lauren
","
Polo Red Rush 1.36 oz. EDT
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1035629_lifestyle?$rl_392_pdp$,$68.00,"
Polo Red
","
Polo Red 2.5 oz. EDT Spray
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1035630_lifestyle?$rl_392_pdp$,$50.00,"
Polo Red
","
Polo Red 1.36 oz. EDT Spray
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1262541_lifestyle?$rl_392_pdp$,$108.00,"
Polo Red
","
Polo Red Extreme 3-Piece Set
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1035631_lifestyle?$rl_392_pdp$,$45.00,"
Polo Red
","
Polo Red After-Shave Gel
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1035633_lifestyle?$rl_392_pdp$,$23.00,"
Polo Red
","
Polo Red Body Spray
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1035632_lifestyle?$rl_392_pdp$,$23.00,"
Polo Red
","
Polo Red Deodorant Stick
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1262539_lifestyle?$rl_392_pdp$,$102.00,"
Polo Red Extreme
","
Polo Red Extreme 4.2 Parfum
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1262537_lifestyle?$rl_392_pdp$,$80.00,"
Polo Red Extreme
","
Polo Red Extreme 2.5 Parfum
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1262538_lifestyle?$rl_392_pdp$,$59.00,"
Polo Red Extreme
","
Polo Red Extreme 1.4 Parfum
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1262540_lifestyle?$rl_392_pdp$,$26.00,"
Polo Red Extreme
","
Polo Red Extreme Deodorant
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1216420_lifestyle?$rl_392_pdp$,$24.00,"
Polo Red Intense
","
Polo Red Intense Deodorant
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1305201_lifestyle?$rl_392_pdp$,$69.00,"
Polo Blue
","
Ultra Blue 2.5 oz. EDT Spray
"
https://www.rlmedia.io/is/image/PoloGSI/s7-378915_lifestyle?$rl_392_pdp$,$50.00,"
Polo Blue
","
Polo Blue 1.3 oz. EDT
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1235777_lifestyle?$rl_392_pdp$,$98.00,"
Polo Blue
","
Polo Blue 4.2 oz. EDP
"
https://www.rlmedia.io/is/image/PoloGSI/s7-17220_lifestyle?$rl_392_pdp$, - $85.00,"
Polo Blue
","
Polo Blue Eau de Toilette
"
https://www.rlmedia.io/is/image/PoloGSI/s7-17222_lifestyle?$rl_392_pdp$,$55.00,"
Polo Blue
","
Polo Blue After-Shave Splash
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1008449_lifestyle?$rl_392_pdp$,$23.00,"
Polo Blue
","
Polo Blue 6 oz. Body Spray
"
https://www.rlmedia.io/is/image/PoloGSI/s7-17225_lifestyle?$rl_392_pdp$,$23.00,"
Polo Blue
","
Polo Blue Deodorant Stick
"
https://www.rlmedia.io/is/image/PoloGSI/s7-1008448_lifestyle?$rl_392_pdp$,$23.00,"
Polo Ralph Lauren
","
Polo 6 oz. Body Spray
"
https://www.rlmedia.io/is/image/PoloGSI/s7-176494_lifestyle?$rl_392_pdp$,$105.00,"
Polo Ralph Lauren
","
Polo 8 oz. EDT Spray
"
https://www.rlmedia.io/is/image/PoloGSI/s7-3820_lifestyle?$rl_392_pdp$,$23.00,"
Polo Ralph Lauren
","
Polo Deodorant Stick
"
https://www.rlmedia.io/is/image/PoloGSI/s7-374018_lifestyle?$rl_392_pdp$,$105.00,"
Polo Black
","
Limited-Edition Polo Black
"
https://www.rlmedia.io/is/image/PoloGSI/s7-378914_lifestyle?$rl_392_pdp$,$48.00,"
Polo Black
","
Polo Black 1.3 oz. EDT
"
https://www.rlmedia.io/is/image/PoloGSI/s7-121030_lifestyle?$rl_392_pdp$, - $85.00,"
Polo Black
","
Polo Black Eau de Toilette
"
